Date;Open;High;Low;Close;Adj Close;Volume
02/01/2020;825.0;835.0;820.0;825.0;764.2463989257812;2885900
03/01/2020;830.0;835.0;820.0;825.0;764.2463989257812;6477400
06/01/2020;815.0;845.0;815.0;835.0;773.510009765625;17857600
07/01/2020;835.0;860.0;835.0;845.0;782.7736206054688;23124600
08/01/2020;835.0;900.0;835.0;895.0;829.091552734375;85979400
09/01/2020;895.0;905.0;880.0;895.0;829.091552734375;32945700
10/01/2020;895.0;900.0;870.0;880.0;815.1961669921875;23667000
13/01/2020;885.0;890.0;850.0;865.0;801.30078125;19413200
14/01/2020;870.0;895.0;860.0;870.0;805.9325561523438;29771300
15/01/2020;875.0;885.0;850.0;855.0;792.0371704101562;18622800
16/01/2020;860.0;890.0;860.0;880.0;815.1961669921875;30044900
17/01/2020;890.0;890.0;865.0;880.0;815.1961669921875;19654200
20/01/2020;880.0;885.0;810.0;835.0;773.510009765625;44119400
21/01/2020;835.0;850.0;820.0;820.0;759.6146240234375;18107700
22/01/2020;820.0;830.0;780.0;790.0;731.8238525390625;31302000
23/01/2020;800.0;800.0;755.0;775.0;717.928466796875;11621300
24/01/2020;775.0;785.0;765.0;770.0;713.2966918945312;6292400
27/01/2020;750.0;765.0;730.0;735.0;680.8740844726562;16297000
28/01/2020;735.0;755.0;710.0;740.0;685.505859375;16298600
29/01/2020;750.0;760.0;740.0;740.0;685.505859375;11614900
30/01/2020;740.0;750.0;730.0;735.0;680.8740844726562;7398400
31/01/2020;735.0;745.0;710.0;710.0;657.715087890625;15707200
03/02/2020;715.0;725.0;690.0;690.0;639.1879272460938;19019300
04/02/2020;695.0;710.0;690.0;710.0;657.715087890625;10593600
05/02/2020;715.0;720.0;700.0;705.0;653.0833129882812;12985200
06/02/2020;715.0;745.0;710.0;740.0;685.505859375;24403100
07/02/2020;740.0;750.0;725.0;730.0;676.2422485351562;8535300
10/02/2020;720.0;730.0;700.0;705.0;653.0833129882812;12633400
11/02/2020;700.0;725.0;700.0;710.0;657.715087890625;9246800
12/02/2020;715.0;720.0;700.0;705.0;653.0833129882812;4878900
13/02/2020;710.0;710.0;670.0;680.0;629.92431640625;13752500
14/02/2020;685.0;685.0;655.0;670.0;620.6607055664062;7386600
17/02/2020;670.0;685.0;665.0;675.0;625.2925415039062;3963700
18/02/2020;675.0;700.0;675.0;695.0;643.8197021484375;7263400
19/02/2020;695.0;715.0;690.0;710.0;657.715087890625;10686400
20/02/2020;715.0;720.0;700.0;700.0;648.4514770507812;7327800
21/02/2020;700.0;705.0;685.0;685.0;634.5560913085938;6569600
24/02/2020;670.0;685.0;665.0;670.0;620.6607055664062;5693500
25/02/2020;665.0;675.0;655.0;670.0;620.6607055664062;6475400
26/02/2020;665.0;665.0;635.0;635.0;588.2381591796875;11652900
27/02/2020;635.0;650.0;600.0;600.0;555.8156127929688;11055300
28/02/2020;600.0;600.0;540.0;575.0;532.6566162109375;26034700
02/03/2020;575.0;600.0;555.0;575.0;532.6566162109375;19907000
03/03/2020;595.0;605.0;585.0;600.0;555.8156127929688;15213500
04/03/2020;600.0;630.0;595.0;630.0;583.6063842773438;19841600
05/03/2020;640.0;650.0;615.0;620.0;574.3427734375;17075400
06/03/2020;620.0;620.0;595.0;600.0;555.8156127929688;9078100
09/03/2020;565.0;580.0;530.0;530.0;490.9704284667969;16534000
10/03/2020;540.0;560.0;530.0;550.0;509.4975891113281;15397800
11/03/2020;550.0;565.0;500.0;510.0;472.4432373046875;17930700
12/03/2020;500.0;500.0;462.0;468.0;433.5361328125;16032000
13/03/2020;468.0;468.0;468.0;468.0;433.5361328125;0
16/03/2020;466.0;470.0;436.0;436.0;403.8926696777344;13704500
17/03/2020;436.0;440.0;406.0;406.0;376.10186767578125;13662700
18/03/2020;406.0;406.0;378.0;378.0;350.163818359375;13108500
19/03/2020;376.0;376.0;352.0;352.0;326.0784606933594;9678200
20/03/2020;354.0;380.0;328.0;380.0;352.01654052734375;37223000
23/03/2020;380.0;380.0;354.0;354.0;327.93121337890625;9684600
24/03/2020;354.0;378.0;344.0;358.0;331.6366271972656;14271700
26/03/2020;370.0;428.0;370.0;412.0;381.6600341796875;27249300
27/03/2020;420.0;480.0;420.0;432.0;400.18719482421875;39620400
30/03/2020;422.0;430.0;402.0;416.0;385.3654479980469;10025300
31/03/2020;420.0;438.0;420.0;428.0;396.4817810058594;8861400
01/04/2020;434.0;446.0;406.0;414.0;383.5127258300781;12281900
02/04/2020;410.0;440.0;406.0;440.0;407.59808349609375;9209200
03/04/2020;450.0;456.0;440.0;448.0;415.00897216796875;19699200
06/04/2020;452.0;515.0;452.0;515.0;477.0750427246094;43706700
07/04/2020;545.0;555.0;500.0;525.0;486.338623046875;40020900
08/04/2020;510.0;530.0;490.0;490.0;453.9160461425781;19483300
09/04/2020;490.0;510.0;482.0;500.0;463.1796569824219;8886100
13/04/2020;510.0;525.0;496.0;515.0;477.0750427246094;16135100
14/04/2020;525.0;540.0;520.0;535.0;495.6022033691406;13000600
15/04/2020;545.0;550.0;510.0;515.0;477.0750427246094;15130900
16/04/2020;505.0;505.0;480.0;480.0;444.6524353027344;22081800
17/04/2020;500.0;500.0;480.0;490.0;453.9160461425781;16336500
20/04/2020;492.0;492.0;476.0;478.0;442.79974365234375;12497300
21/04/2020;476.0;476.0;452.0;456.0;422.4198303222656;7925300
22/04/2020;452.0;466.0;442.0;460.0;426.1252746582031;10383100
23/04/2020;462.0;476.0;460.0;462.0;427.97796630859375;6542500
24/04/2020;462.0;472.0;450.0;456.0;422.4198303222656;4634100
27/04/2020;456.0;480.0;454.0;462.0;427.97796630859375;4486600
28/04/2020;458.0;470.0;458.0;462.0;427.97796630859375;3990200
29/04/2020;468.0;470.0;462.0;464.0;429.8307189941406;2381900
30/04/2020;472.0;482.0;464.0;466.0;431.6834411621094;14673700
04/05/2020;460.0;472.0;450.0;460.0;426.1252746582031;6093500
05/05/2020;462.0;470.0;462.0;468.0;433.5361328125;2738500
06/05/2020;470.0;484.0;470.0;470.0;435.38885498046875;16799600
08/05/2020;480.0;515.0;474.0;505.0;467.81146240234375;45925900
11/05/2020;510.0;520.0;492.0;492.0;455.7687683105469;26651800
12/05/2020;494.0;500.0;480.0;480.0;444.6524353027344;9351200
13/05/2020;478.0;492.0;470.0;486.0;450.2106018066406;8297700
14/05/2020;484.0;494.0;470.0;470.0;435.38885498046875;8630400
15/05/2020;476.0;478.0;460.0;462.0;427.97796630859375;10013100
18/05/2020;470.0;470.0;456.0;458.0;424.2725524902344;11054800
19/05/2020;466.0;476.0;458.0;462.0;427.97796630859375;17289100
20/05/2020;464.0;466.0;458.0;460.0;426.1252746582031;9778900
26/05/2020;462.0;484.0;460.0;482.0;446.50518798828125;19475700
27/05/2020;484.0;486.0;472.0;472.0;437.2416076660156;13525400
28/05/2020;470.0;484.0;470.0;472.0;437.2416076660156;22830800
29/05/2020;470.0;480.0;444.0;444.0;411.30352783203125;56041900
02/06/2020;450.0;468.0;446.0;458.0;424.2725524902344;48393700
03/06/2020;468.0;482.0;460.0;480.0;444.6524353027344;46807400
04/06/2020;484.0;535.0;484.0;535.0;495.6022033691406;111350400
05/06/2020;545.0;590.0;540.0;580.0;537.2883911132812;153572500
08/06/2020;600.0;625.0;590.0;615.0;569.7109985351562;83629900
09/06/2020;630.0;635.0;600.0;605.0;560.4473876953125;53281500
10/06/2020;605.0;615.0;580.0;590.0;546.552001953125;33131900
11/06/2020;595.0;610.0;560.0;580.0;537.2883911132812;39197100
12/06/2020;540.0;590.0;540.0;590.0;546.552001953125;20424300
15/06/2020;595.0;595.0;560.0;565.0;523.3930053710938;22175700
16/06/2020;580.0;650.0;575.0;650.0;602.133544921875;93975600
17/06/2020;655.0;680.0;630.0;645.0;597.5017700195312;76879900
18/06/2020;625.0;655.0;620.0;630.0;583.6063842773438;25375400
